steps,num_customers,num_products,num_retailers,num_customers_willing_to_share_info,learning_rate_gen_ai,learning_rate_customer,capacity_gen_ai,creativity_gen_ai,total_steps,LowSatisfaction,MediumSatisfaction,HighSatisfaction,Sales,Sales (Willing),Sales (Unwilling),Sold Products,Sold Products (Willing),Sold Products (Unwilling),Average Seller Rating,Average Satisfaction,Willing to Share Customers,Unwilling to Share Customers,Number of Products,mean_purchase_position,AIC Linear (Sum),AIC Quadratic (Sum),AIC Cubic (Sum),AIC Quartic (Sum),AIC Quartic (Minimum)
1,100,100,20,100,0.3,0.3,0.3,0.30407476727800387,1000,28,70,2,417.1999192430391,417.1999192430391,0,208,208,0,0.6833574529594667,0.5080044721017878,100,0,100,52.8345,-91.29753980796005,-89.24648519383777,-85.14112000063298,-90.77058186508836,-91.29753980796005
2,100,100,20,100,0.3,0.3,0.3,0.31329048715276564,1000,26,61,13,420.9730955228961,420.9730955228961,0,224,224,0,0.9277682140352541,0.5241044721017877,100,0,100,49.425333333333334,-75.64047330791414,-72.77991828487603,-74.41091133762944,-70.60545553225273,-91.29753980796005
3,100,100,20,100,0.3,0.3,0.3,0.3278328527392959,1000,31,46,23,463.16094084210545,463.16094084210545,0,241,241,0,1.0217672429812343,0.5508044721017877,100,0,100,44.15633333333333,-65.21242503815532,-57.407504929229304,-53.314184015533414,-50.64712379163652,-91.29753980796005
4,100,100,20,100,0.3,0.3,0.3,0.3443250548043725,1000,36,36,28,473.28934945172557,473.28934945172557,0,236,236,0,1.1166694315813268,0.582845843515267,100,0,100,46.4645,-55.372640555938005,-50.62087304806033,-50.341530362872845,-49.15306206662257,-91.29753980796005
5,100,100,20,100,0.3,0.3,0.3,0.3577684408380895,1000,35,34,31,518.529993625532,518.529993625532,0,258,258,0,1.195669431581327,0.6101892070624266,100,0,100,46.68983333333333,-40.86450652424364,-43.69804998187291,-42.87485621485982,-38.77923446478488,-91.29753980796005
6,100,100,20,100,0.3,0.3,0.3,0.3714329747954671,1000,40,26,34,485.8969186541353,485.8969186541353,0,240,240,0,1.2711694315813267,0.6393087263995412,100,0,100,49.902666666666676,-44.75171041054051,-53.59025320393465,-49.40641891903999,-52.015243390182036,-91.29753980796005
7,100,100,20,100,0.3,0.3,0.3,0.3901098652309408,1000,37,26,37,468.23377908605664,468.23377908605664,0,244,244,0,1.3451694315813267,0.6817520900318053,100,0,100,43.09616666666667,-29.909139979921065,-43.76779577815762,-37.78593403630521,-39.4605690514594,-91.29753980796005
8,100,100,20,100,0.3,0.3,0.3,0.4042321614903434,1000,38,21,41,476.9612797034165,476.9612797034165,0,259,259,0,1.4291694315813266,0.7154304946954734,100,0,100,44.23416666666667,-13.8048764696195,-29.41588485961131,-29.60349894844802,-25.02461436712639,-91.29753980796005
9,100,100,20,100,0.3,0.3,0.3,0.42085898210161365,1000,39,20,41,506.3817056790355,506.3817056790355,0,263,263,0,1.494798122675355,0.7574081247619238,100,0,100,44.09833333333333,-15.650696398570574,-45.913745283248204,-47.09222191987806,-40.51305690030961,-91.29753980796005
10,100,100,20,100,0.3,0.3,0.3,0.4379511851430804,1000,40,15,45,497.64539186528515,497.64539186528515,0,259,259,0,1.5481146723118429,0.8031678160566281,100,0,100,45.594166666666666,-18.569252987248774,-50.266991407846604,-45.448122328311285,-45.936974783292555,-91.29753980796005
11,100,100,20,100,0.3,0.3,0.3,0.45166098588192144,1000,40,16,44,516.5309410268899,516.5309410268899,0,243,243,0,1.591614672311843,0.8416297359770577,100,0,100,46.7655,-7.6748553936432415,-27.897576485264352,-27.17904731987366,-29.74968584590229,-91.29753980796005
12,100,100,20,100,0.3,0.3,0.3,0.4648302424366075,1000,41,14,45,501.84470846542916,501.84470846542916,0,252,252,0,1.6241146723118427,0.8802714721591756,100,0,100,47.275999999999996,8.384028858150145,-28.75856900308267,-29.310888524713363,-32.56736956620293,-91.29753980796005
13,100,100,20,100,0.3,0.3,0.3,0.4776013612693045,1000,41,14,45,457.4801380206629,457.4801380206629,0,239,239,0,1.6666146723118431,0.9194111698465742,100,0,100,48.098,-0.057806815721278326,-31.825825082808166,-36.54605982361872,-32.38878324079397,-91.29753980796005
14,100,100,20,100,0.3,0.3,0.3,0.49167569801558547,1000,44,10,46,556.9920444403383,556.9920444403383,0,265,265,0,1.7136146723118428,0.9646680462859243,100,0,100,46.568000000000005,-14.188449864003218,-38.36909929618227,-42.92501139880832,-36.45557314595331,-91.29753980796005
15,100,100,20,100,0.3,0.3,0.3,0.5038205041342071,1000,43,12,45,537.5278563386262,537.5278563386262,0,273,273,0,1.7506146723118434,1.0053680462859242,100,0,100,46.028166666666664,7.791731450772346,-36.310635375622184,-41.307756075943104,-38.10111877293289,-91.29753980796005
16,100,100,20,100,0.3,0.3,0.3,0.5182663143717731,1000,45,7,48,500.0758226584344,500.0758226584344,0,270,270,0,1.7876146723118431,1.0562282911579801,100,0,100,44.315666666666665,4.2356276081569035,-49.79567257935349,-53.83435092224494,-51.600611944354455,-91.29753980796005
