steps,num_customers,num_products,num_retailers,num_customers_willing_to_share_info,learning_rate_gen_ai,learning_rate_customer,capacity_gen_ai,creativity_gen_ai,total_steps,LowSatisfaction,MediumSatisfaction,HighSatisfaction,Sales,Sales (Willing),Sales (Unwilling),Sold Products,Sold Products (Willing),Sold Products (Unwilling),Average Seller Rating,Average Satisfaction,Willing to Share Customers,Unwilling to Share Customers,Number of Products,mean_purchase_position,AIC Linear (Sum),AIC Quadratic (Sum),AIC Cubic (Sum),AIC Quartic (Sum),AIC Quartic (Minimum)
1,100,100,20,100,0.9,0.3,0.8,0.3290141791580738,1000,31,65,4,718.5625870674689,718.5625870674689,0,289,289,0,0.7410695195259729,0.5211245135567681,100,0,100,50.59166666666666,-61.83034174399549,-57.35497224863053,-50.26343391410944,-58.696654329271496,-61.83034174399549
2,100,100,20,100,0.9,0.3,0.8,0.36419606661299664,1000,30,55,15,732.1391945261859,732.1391945261859,0,292,292,0,0.9205625395488278,0.5423245135567681,100,0,100,49.34300000000001,-51.22527903583355,-45.43205430758124,-56.54384682556409,-52.12943102387132,-61.83034174399549
3,100,100,20,100,0.9,0.3,0.8,0.39790067041186306,1000,36,38,26,747.8046416739697,747.8046416739697,0,312,312,0,1.0895061866989413,0.563424513556768,100,0,100,46.98383333333333,-50.5815810740086,-44.83174118992363,-42.789047817501825,-42.648308781513975,-61.83034174399549
4,100,100,20,100,0.9,0.3,0.8,0.46260507053814415,1000,36,31,33,825.7354052988798,825.7354052988798,0,316,316,0,1.261746341540905,0.6070689972241594,100,0,100,43.71699999999999,-66.6848857507531,-63.19826471833949,-60.46937315547183,-59.84989185976656,-66.6848857507531
5,100,100,20,100,0.9,0.3,0.8,0.5181055790239827,1000,33,27,40,845.2192513429693,845.2192513429693,0,320,320,0,1.3816356461896873,0.6469655730900834,100,0,100,43.61949999999999,-56.5666591002944,-52.675351496430864,-55.0816269833812,-51.963076721701015,-66.6848857507531
6,100,100,20,100,0.9,0.3,0.8,0.5785350133204381,1000,34,25,41,918.7730194191739,918.7730194191739,0,353,353,0,1.5025070456849856,0.6935319549859926,100,0,100,42.85983333333333,-50.19507038767151,-53.009912565969984,-50.720109416843144,-47.78825493548848,-66.6848857507531
7,100,100,20,100,0.9,0.3,0.8,0.6536867805654173,1000,31,26,43,967.3420342954629,967.3420342954629,0,361,361,0,1.5720070456849855,0.7567195208779381,100,0,100,40.23683333333334,-45.93640956171038,-61.95020019368394,-58.114480204611255,-51.60022870536761,-66.6848857507531
8,100,100,20,100,0.9,0.3,0.8,0.726736745698704,1000,32,23,45,1012.9707436295071,1012.9707436295071,0,370,370,0,1.6500776677404674,0.8235655602819034,100,0,100,39.33366666666666,-51.88229256379509,-68.48844372370655,-62.20537927056489,-56.82603363984646,-68.48844372370655
9,100,100,20,100,0.9,0.3,0.8,0.8052095756547273,1000,30,24,46,1053.08303210476,1053.08303210476,0,388,388,0,1.7335776677404673,0.9022330986497207,100,0,100,36.0575,-46.78276605181455,-71.78238685307784,-65.33654116603103,-60.212266639568526,-71.78238685307784
10,100,100,20,100,0.9,0.3,0.8,0.8742821440043536,1000,30,19,51,1035.3997409519855,1035.3997409519855,0,396,396,0,1.8435776677404667,0.9772330986497205,100,0,100,38.22583333333334,-58.39807324229943,-88.15648478415531,-84.4190954403384,-77.5451977068125,-88.15648478415531
11,100,100,20,100,0.9,0.3,0.8,0.9456241435260037,1000,27,20,53,1061.3522434710615,1061.3522434710615,0,398,398,0,1.961577667740467,1.0613664361860309,100,0,100,35.192,-59.49837896085634,-88.9317583819458,-91.38086504246596,-85.4165389357153,-91.38086504246596
12,100,100,20,100,0.9,0.3,0.8,1.0162634653918292,1000,27,17,56,1164.4064730731063,1164.4064730731063,0,430,430,0,2.081077667740467,1.1517664361860307,100,0,100,34.9205,-61.05565934207388,-99.00330021312706,-111.80818776764826,-108.49643025446468,-111.80818776764826
13,100,100,20,100,0.9,0.3,0.8,1.0851741628229439,1000,27,14,59,1201.029571647089,1201.029571647089,0,435,435,0,2.174550121555405,1.2472664361860308,100,0,100,32.6995,-61.380536813472105,-100.90707665187526,-107.51274443162575,-100.29275151314815,-111.80818776764826
14,100,100,20,100,0.9,0.3,0.8,1.1450544276112,1000,27,14,59,1224.0625239350093,1224.0625239350093,0,424,424,0,2.283550121555405,1.3361664361860308,100,0,100,34.507666666666665,-53.82689360079402,-80.52346051357128,-87.2529574078176,-85.32877086229163,-111.80818776764826
15,100,100,20,100,0.9,0.3,0.8,1.2087112441947938,1000,25,14,61,1319.5312580722493,1319.5312580722493,0,461,461,0,2.387050121555405,1.4378664361860307,100,0,100,30.84583333333333,-51.13925724207374,-78.31161332746066,-86.7975280358684,-80.18841327945162,-111.80818776764826
16,100,100,20,100,0.9,0.3,0.8,1.269308010010825,1000,24,13,63,1254.1008114389024,1254.1008114389024,0,449,449,0,2.462405182595135,1.541666436186031,100,0,100,30.930833333333336,-62.12260788416481,-91.27336091550873,-107.67355249900723,-101.19271264601551,-111.80818776764826
17,100,100,20,100,0.9,0.3,0.8,1.3239758757730258,1000,23,12,65,1349.2281584005966,1349.2281584005966,0,447,447,0,2.5357061761260296,1.641366436186031,100,0,100,31.64433333333333,-53.93185838048109,-79.20394698428927,-96.73940057060136,-91.63969978709454,-111.80818776764826
18,100,100,20,100,0.9,0.3,0.8,1.3792008163343752,1000,23,11,66,1364.3662628439906,1364.3662628439906,0,468,468,0,2.6042061761260293,1.7486664361860311,100,0,100,31.11666666666667,-65.72988864165856,-100.30271795084505,-115.51265961495372,-117.72317273361145,-117.72317273361145
19,100,100,20,100,0.9,0.3,0.8,1.432783584131541,1000,23,10,67,1410.0366940250983,1410.0366940250983,0,480,480,0,2.6977061761260295,1.859366436186031,100,0,100,29.185999999999993,-66.47434979732364,-96.81067390025325,-109.52186729966681,-107.00737257521709,-117.72317273361145
20,100,100,20,100,0.9,0.3,0.8,1.4861060175766392,1000,20,10,70,1521.311268108076,1521.311268108076,0,491,491,0,2.788206176126029,1.976466436186031,100,0,100,29.03683333333333,-67.21145011259247,-93.38670280737401,-107.46687152103877,-104.8294130013688,-117.72317273361145
21,100,100,20,100,0.9,0.3,0.8,1.5379044815066445,1000,20,7,73,1507.9507656051887,1507.9507656051887,0,497,497,0,2.866706176126029,2.097166436186031,100,0,100,28.413500000000003,-63.428177976342596,-85.07502894245548,-93.20347029195571,-89.0284739465475,-117.72317273361145
22,100,100,20,100,0.9,0.3,0.8,1.583725877144423,1000,16,9,75,1406.2650167495244,1406.2650167495244,0,476,476,0,2.963911820969897,2.2096664361860308,100,0,100,29.87533333333333,-53.211503455366284,-82.07955067828843,-85.42877685870596,-78.54383447376003,-117.72317273361145
23,100,100,20,100,0.9,0.3,0.8,1.6287891818157512,1000,16,10,74,1531.3932056222443,1531.3932056222443,0,499,499,0,3.0308420087650036,2.326136898127752,100,0,100,28.789333333333335,-56.583539584247234,-89.09525436810256,-93.82475271705007,-90.35029177065698,-117.72317273361145
24,100,100,20,100,0.9,0.3,0.8,1.67440739867622,1000,17,8,75,1539.7441311489724,1539.7441311489724,0,496,496,0,3.107342008765003,2.4503368981277527,100,0,100,25.55483333333333,-53.59015230164346,-125.90069545104325,-124.62193896452197,-123.16691687961531,-125.90069545104325
25,100,100,20,100,0.9,0.3,0.8,1.7174234878086918,1000,16,8,76,1605.5732143277694,1605.5732143277694,0,507,507,0,3.178342008765004,2.5733309346292628,100,0,100,26.43383333333333,-54.95975399659403,-111.71389236075544,-114.41125140452112,-112.98306960592652,-125.90069545104325
26,100,100,20,100,0.9,0.3,0.8,1.7578931694827307,1000,14,6,80,1632.7794252887516,1632.7794252887516,0,520,520,0,3.258342008765004,2.6944923195693917,100,0,100,25.569999999999997,-55.57458046411557,-115.05183248871151,-116.03015704335667,-121.05049329492573,-125.90069545104325
27,100,100,20,100,0.9,0.3,0.8,1.7919858251867027,1000,14,4,82,1674.3992141755034,1674.3992141755034,0,505,505,0,3.3499543470681727,2.8005803433668564,100,0,100,25.700999999999993,-57.57016790868272,-108.55269805231904,-108.1010618587083,-105.52280827408674,-125.90069545104325
28,100,100,20,100,0.9,0.3,0.8,1.8249035232595134,1000,14,4,82,1656.0999940601796,1656.0999940601796,0,519,519,0,3.439954347068172,2.9069008829127556,100,0,100,22.91,-51.966808709552936,-108.82872775408816,-118.84801989855652,-119.05560022987709,-125.90069545104325
29,100,100,20,100,0.9,0.3,0.8,1.8539970095861547,1000,13,3,84,1622.9340260312524,1622.9340260312524,0,506,506,0,3.5324543470681733,3.004008758169322,100,0,100,23.455666666666666,-59.94160954312531,-115.70776148161605,-120.32337047697558,-124.3922115137201,-125.90069545104325
30,100,100,20,100,0.9,0.3,0.8,1.87879416489985,1000,13,3,84,1669.8097052207074,1669.8097052207074,0,512,512,0,3.622454347068171,3.089121451977722,100,0,100,24.999666666666666,-45.21505050393267,-102.9476828649299,-117.93445718862591,-138.93492187382304,-138.93492187382304
31,100,100,20,100,0.9,0.3,0.8,1.9033875300199843,1000,12,4,84,1722.8150706506597,1722.8150706506597,0,506,506,0,3.7034543470681713,3.1759061400779593,100,0,100,24.37533333333333,-50.71827239515852,-124.70844209105087,-130.21776528784716,-139.36417400501279,-139.36417400501279
32,100,100,20,100,0.9,0.3,0.8,1.926829501909777,1000,11,4,85,1750.9016528169827,1750.9016528169827,0,525,525,0,3.7805160157975655,3.260840052121221,100,0,100,22.88116666666666,-49.604849672649436,-121.2713461397633,-131.53602703930704,-138.05407447949955,-139.36417400501279
33,100,100,20,100,0.9,0.3,0.8,1.9476380748061974,1000,12,3,85,1749.0036474617548,1749.0036474617548,0,537,537,0,3.821511272366615,3.338017133057587,100,0,100,24.144666666666666,-76.853795139623,-142.90397432025947,-150.5390193979112,-167.0983689965331,-167.0983689965331
34,100,100,20,100,0.9,0.3,0.8,1.9662498301871674,1000,11,1,88,1780.3664803154568,1780.3664803154568,0,531,531,0,3.8560112723666142,3.4085040708142937,100,0,100,23.55083333333333,-79.74374814696012,-157.75425604628867,-167.90437660577373,-184.5777913441337,-184.5777913441337
35,100,100,20,100,0.9,0.3,0.8,1.9848241483962712,1000,10,2,88,1811.030591373651,1811.030591373651,0,530,530,0,3.8761269580444226,3.4803316117360588,100,0,100,22.668666666666667,-62.23595626646613,-137.2433875778492,-156.2895143454998,-159.10579247240594,-184.5777913441337
36,100,100,20,100,0.9,0.3,0.8,1.9993024586989043,1000,9,3,88,1783.0153156766878,1783.0153156766878,0,513,513,0,3.889126958044423,3.537235154152958,100,0,100,23.431166666666662,-62.06743286885984,-153.70802881599485,-173.56746181056815,-175.2253406678131,-184.5777913441337
37,100,100,20,100,0.9,0.3,0.8,2.0145353495303504,1000,10,2,88,1824.1507166822316,1824.1507166822316,0,531,531,0,3.9116269580444234,3.598135154152958,100,0,100,22.913666666666668,-75.28838448746853,-186.5288348814343,-204.39987931986718,-200.71565037323927,-204.39987931986718
38,100,100,20,100,0.9,0.3,0.8,2.0291128381329817,1000,10,2,88,1833.9573038547408,1833.9573038547408,0,516,516,0,3.930126958044421,3.6573744139698476,100,0,100,23.67566666666666,-73.94193254894856,-157.44852009356293,-163.7433523021827,-172.21645021779187,-204.39987931986718
39,100,100,20,100,0.9,0.3,0.8,2.0430747368026703,1000,10,2,88,1835.6003063380924,1835.6003063380924,0,525,525,0,3.93662695804442,3.7150061240377226,100,0,100,22.36466666666666,-49.94841380938516,-136.72674875933393,-139.10163379961222,-147.48513879026018,-204.39987931986718
40,100,100,20,100,0.9,0.3,0.8,2.056328425699777,1000,10,2,88,1801.3071702636848,1801.3071702636848,0,530,530,0,3.943626958044421,3.770532191417244,100,0,100,21.72433333333333,-51.901828131280126,-145.35320983434127,-147.12034201717182,-153.33120721078376,-204.39987931986718
41,100,100,20,100,0.9,0.3,0.8,2.0701712090029543,1000,10,1,89,1818.7539504585754,1818.7539504585754,0,534,534,0,3.9511269580444206,3.829432191417244,100,0,100,22.772166666666664,-53.25796943823241,-141.91759576397538,-143.50369581562256,-158.0612808570092,-204.39987931986718
42,100,100,20,100,0.9,0.3,0.8,2.0844949223595757,1000,10,0,90,1813.085231905004,1813.085231905004,0,528,528,0,3.957626958044421,3.891364174756622,100,0,100,22.28083333333333,-63.95566132245489,-149.39375995469663,-152.3400468838139,-166.70136674164002,-204.39987931986718
43,100,100,20,100,0.9,0.3,0.8,2.0970812173686952,1000,10,0,90,1756.0454022017225,1756.0454022017225,0,520,520,0,3.9661269580444207,3.9465558595547616,100,0,100,22.3495,-81.52019570768812,-154.29273868132054,-154.02923364456615,-173.71055257807654,-204.39987931986718
44,100,100,20,100,0.9,0.3,0.8,2.1075595115691717,1000,10,0,90,1825.1761530065507,1825.1761530065507,0,519,519,0,3.9731269580444204,3.993045083039038,100,0,100,23.226666666666667,-58.29327852877043,-143.98834927865215,-140.7964297223437,-149.32226729418494,-204.39987931986718
45,100,100,20,100,0.9,0.3,0.8,2.11856563815723,1000,10,0,90,1909.2451916408345,1909.2451916408345,0,537,537,0,3.9811269580444213,4.042480698930383,100,0,100,21.91583333333333,-88.73593235832851,-159.1269902762952,-155.8519884975579,-183.2850979682358,-204.39987931986718
46,100,100,20,100,0.9,0.3,0.8,2.1292582545136525,1000,10,0,90,1940.8029842711414,1940.8029842711414,0,532,532,0,3.9886269580444207,4.091085597570501,100,0,100,21.9535,-66.93380610143981,-160.9604171761161,-170.06010525600857,-174.26702734574832,-204.39987931986718
47,100,100,20,100,0.9,0.3,0.8,2.1388918450609453,1000,9,1,90,1811.9267392824358,1811.9267392824358,0,532,532,0,3.996626958044421,4.135350344221431,100,0,100,22.323,-68.65664861236507,-160.13269419111867,-157.73224346199686,-168.64866211112303,-204.39987931986718
48,100,100,20,100,0.9,0.3,0.8,2.1482108664096278,1000,9,1,90,1897.4039815887397,1897.4039815887397,0,523,523,0,4.004626958044421,4.1786177082561204,100,0,100,22.02383333333333,-59.76671877001024,-167.58452783619305,-189.97474166388207,-216.29181158764385,-216.29181158764385
49,100,100,20,100,0.9,0.3,0.8,2.1576943813781315,1000,9,1,90,1840.0855621929288,1840.0855621929288,0,520,520,0,4.01312695804442,4.223117708256121,100,0,100,22.064666666666664,-63.00960406567245,-188.69180674253812,-196.7707572044627,-213.1631228879803,-216.29181158764385
