steps,num_customers,num_products,num_retailers,num_customers_willing_to_share_info,learning_rate_gen_ai,learning_rate_customer,capacity_gen_ai,creativity_gen_ai,total_steps,LowSatisfaction,MediumSatisfaction,HighSatisfaction,Sales,Sales (Willing),Sales (Unwilling),Sold Products,Sold Products (Willing),Sold Products (Unwilling),Average Seller Rating,Average Satisfaction,Willing to Share Customers,Unwilling to Share Customers,Number of Products,mean_purchase_position,AIC Linear (Sum),AIC Quadratic (Sum),AIC Cubic (Sum),AIC Quartic (Sum),AIC Quartic (Minimum)
1,100,100,20,100,0.3,0.3,0.9,0.3055991812977555,1000,27,72,1,339.2859093928413,339.2859093928413,0,246,246,0,0.7969110170820487,0.5036450598823121,100,0,100,49.00283333333333,-95.94870822863663,-91.08154460774716,-90.46147419425813,-84.1575076443284,-95.94870822863663
2,100,100,20,100,0.3,0.3,0.9,0.3122393770134109,1000,29,61,10,392.658406351547,392.658406351547,0,290,290,0,0.8940750795749745,0.5150450598823122,100,0,100,47.16033333333334,-76.29760367599181,-81.90067487016569,-76.21732171470154,-69.73210766259422,-95.94870822863663
3,100,100,20,100,0.3,0.3,0.9,0.3212781580182917,1000,35,47,18,384.20156166837273,384.20156166837273,0,268,268,0,0.9840750795749742,0.5310450598823122,100,0,100,47.975500000000004,-66.08090628013619,-62.58873241227619,-56.01986593502929,-52.979233305494546,-95.94870822863663
4,100,100,20,100,0.3,0.3,0.9,0.34406498412580516,1000,31,44,25,410.6531310924245,410.6531310924245,0,310,310,0,1.0780750795749738,0.5746967783951037,100,0,100,41.388000000000005,-53.70358093315264,-57.25921379545139,-55.387665578781935,-57.07780059377268,-95.94870822863663
5,100,100,20,100,0.3,0.3,0.9,0.3580189046967723,1000,30,40,30,460.6688690433158,460.6688690433158,0,308,308,0,1.1925750795749746,0.6027316782760004,100,0,100,42.991166666666665,-46.35078603050323,-43.58943262509342,-42.258441882042405,-38.009682613365555,-95.94870822863663
6,100,100,20,100,0.3,0.3,0.9,0.3797619581803489,1000,32,32,36,473.74110369780766,473.74110369780766,0,341,341,0,1.2981402259826145,0.6498292522308252,100,0,100,41.86266666666666,-48.033290522255555,-61.329287963894245,-59.02126338544522,-52.534580474492685,-95.94870822863663
7,100,100,20,100,0.3,0.3,0.9,0.4018890276027918,1000,28,32,40,516.9742987144924,516.9742987144924,0,365,365,0,1.393644880910275,0.7015752677457563,100,0,100,41.82,-35.91442394054823,-54.90603979365076,-59.51352068879035,-58.46498510960171,-95.94870822863663
8,100,100,20,100,0.3,0.3,0.9,0.42092483236548733,1000,31,24,45,584.5933810974856,584.5933810974856,0,368,368,0,1.4952768830902652,0.7491081920454674,100,0,100,42.69133333333333,-31.927736945796568,-56.0766727480578,-64.96785628537035,-63.779034101273766,-95.94870822863663
9,100,100,20,100,0.3,0.3,0.9,0.4448091282495506,1000,27,26,47,525.2687475610254,525.2687475610254,0,383,383,0,1.5776692584841105,0.8139068305918541,100,0,100,38.642,-21.243584684063478,-53.38553604227525,-50.220652686753965,-46.87760079813211,-95.94870822863663
10,100,100,20,100,0.3,0.3,0.9,0.46540628960576685,1000,27,22,51,576.930689425571,576.930689425571,0,390,390,0,1.6408216557043445,0.8739068305918539,100,0,100,39.13566666666666,-21.95894220737071,-59.844924959685926,-58.90665432222502,-70.05819825321854,-95.94870822863663
11,100,100,20,100,0.3,0.3,0.9,0.4888842280267658,1000,28,20,52,631.1327295440453,631.1327295440453,0,410,410,0,1.6848216557043443,0.9481053615776507,100,0,100,38.5645,-25.07908641938039,-71.01145898032186,-70.25210071237777,-77.77200438071148,-95.94870822863663
12,100,100,20,100,0.3,0.3,0.9,0.5117159154036273,1000,25,21,54,625.0046631161365,625.0046631161365,0,409,409,0,1.7308216557043443,1.0262053615776507,100,0,100,36.82833333333333,-29.895356340237612,-78.77464682845462,-78.62146189741472,-89.78447357981705,-95.94870822863663
13,100,100,20,100,0.3,0.3,0.9,0.5338136600517823,1000,25,18,57,650.3158286183757,650.3158286183757,0,409,409,0,1.7813216557043448,1.1078053615776506,100,0,100,35.950833333333335,-31.57162271108004,-88.43371407013169,-86.01790485948428,-91.40242434821366,-95.94870822863663
14,100,100,20,100,0.3,0.3,0.9,0.5540660939027953,1000,24,15,61,666.1339783817534,666.1339783817534,0,427,427,0,1.8288729843686322,1.1880053615776507,100,0,100,35.79816666666667,-39.651510293545556,-90.21722738648165,-99.4177040786291,-98.60086819448125,-99.4177040786291
15,100,100,20,100,0.3,0.3,0.9,0.5745585181269944,1000,22,15,63,749.6628740488359,749.6628740488359,0,460,460,0,1.8808729843686325,1.2751053615776509,100,0,100,35.35066666666667,-46.39432502386106,-95.4540390476001,-93.23030496407122,-104.93441188957505,-104.93441188957505
16,100,100,20,100,0.3,0.3,0.9,0.5929343566578895,1000,23,11,66,726.8920232719523,726.8920232719523,0,443,443,0,1.9303729843686324,1.358305361577651,100,0,100,35.157833333333336,-47.361573830083614,-116.98813559705223,-112.01257639926848,-112.83740164580229,-116.98813559705223
17,100,100,20,100,0.3,0.3,0.9,0.6125062340674687,1000,21,11,68,726.4005294304534,726.4005294304534,0,460,460,0,2.0016404837095614,1.4531053615776512,100,0,100,35.725500000000004,-53.227699485116204,-120.33037706159519,-114.28769581049806,-117.66233427261108,-120.33037706159519
18,100,100,20,100,0.3,0.3,0.9,0.6301315129252862,1000,19,10,71,727.9999645492019,727.9999645492019,0,453,453,0,2.040140483709561,1.543805361577651,100,0,100,35.409,-59.882901763818666,-124.77802403919287,-125.26090934838777,-122.06681410911256,-125.26090934838777
19,100,100,20,100,0.3,0.3,0.9,0.6480558103231104,1000,19,8,73,783.4777790211094,783.4777790211094,0,471,471,0,2.0866404837095613,1.6419053615776504,100,0,100,33.263000000000005,-55.00331121064022,-125.78096148965534,-139.3599619127022,-134.03444364116928,-139.3599619127022
20,100,100,20,100,0.3,0.3,0.9,0.6654892124166517,1000,18,8,74,791.2250581571941,791.2250581571941,0,483,483,0,2.125306800518361,1.7432053615776508,100,0,100,32.404333333333334,-57.991610713794955,-136.86109715362898,-154.33339241411528,-150.29699106842008,-154.33339241411528
21,100,100,20,100,0.3,0.3,0.9,0.6816728188588189,1000,18,7,75,785.0254178936505,785.0254178936505,0,481,481,0,2.1558068005183615,1.8426053615776508,100,0,100,32.887,-57.48378022660182,-143.81249028987645,-167.03393933537944,-174.05478189402373,-174.05478189402373
22,100,100,20,100,0.3,0.3,0.9,0.6978319528056988,1000,17,7,76,806.5756718187955,806.5756718187955,0,479,479,0,2.192306800518361,1.9475053615776508,100,0,100,31.79083333333333,-72.54803350279758,-152.76146161680202,-193.6501873186116,-193.46907620006368,-193.6501873186116
