creativity_gen_ai,learning_rate_customer,learning_rate_gen_ai,num_customers,num_products,num_retailers,percentage_willing_to_share_info,LowSatisfaction,MediumSatisfaction,HighSatisfaction,Sales,Sales (Willing),Sales (Unwilling),Sold Products,Sold Products (Willing),Sold Products (Unwilling),Average Seller Rating,Average Satisfaction,Avg Satisfaction (Willing),Avg Satisfaction (Unwilling),Willing to Share Customers,Unwilling to Share Customers,Number of Products,mean_purchase_position,mean_purchase_position (Willing),mean_purchase_position (Unwilling),AIC Linear (Sum),AIC Quadratic (Sum),AIC Cubic (Sum),AIC Quartic (Sum)
0.1,0.3,0.1,20,60,10,0,9,3,8,2779.8450576557902,0.0,2779.8450576557902,1524,0,1524,0.954,0.547,0.0,0.547,0,20,60,16.588605442176874,0.0,16.588605442176874,14.224822294471629,17.400389707444937,16.97472865752114,18.294938270708258
0.1,0.3,0.1,20,60,10,1,14,1,5,3740.9486755460102,3740.9486755460102,0.0,1305,1305,0,0.5159999999999998,0.26050000000000006,0.26050000000000006,0.0,20,0,60,33.11458333333333,33.11458333333333,0.0,10.535938175580984,8.734819773983947,8.980288904342384,-19.798476642262273
0.1,0.3,0.1,20,60,20,0,0,2,18,19233.281165736127,0.0,19233.281165736127,8421,0,8421,1.0,0.9752491448290638,0.0,0.9752491448290638,0,20,60,14.62147186147186,0.0,14.62147186147186,-48.07620667886641,-45.86917158437174,-77.63136876680124,-123.27313136218294
0.1,0.3,0.1,20,60,20,1,5,0,15,23718.568112048106,23718.568112048106,0.0,10122,10122,0,0.9884999999999999,0.7615940806552319,0.7615940806552319,0.0,20,0,60,25.69486276966927,25.69486276966927,0.0,-5.945477187591425,-46.52404873128704,-91.42707725438197,-141.76956738329568
0.1,0.3,0.1,20,60,30,0,14,5,1,1154.5014459987135,0.0,1154.5014459987135,883,0,883,0.49786444086948506,0.22863671017177234,0.0,0.22863671017177234,0,20,60,15.3,0.0,15.3,4.328894249520992,6.87229096195518,1.883668829008677,-2.7229390115168783
0.1,0.3,0.1,20,60,30,1,2,0,18,18063.383538974595,18063.383538974595,0.0,9121,9121,0,0.9588592538465373,0.9055,0.9055,0.0,20,0,60,20.657053472842946,20.657053472842946,0.0,-18.740853244654893,-58.1705171957604,-107.07282086329172,-153.52165342821345
0.1,0.3,0.1,20,90,10,0,17,0,3,2259.2925744224494,0.0,2259.2925744224494,1156,0,1156,0.0,0.15450000000000003,0.0,0.15450000000000003,0,20,90,31.733333333333334,0.0,31.733333333333334,8.95992594738529,9.824331221164773,15.123189300798568,17.7911965353687
0.1,0.3,0.1,20,90,10,1,0,0,20,44879.610581794725,44879.610581794725,0.0,16329,16329,0,0.9879999999999999,1.0,1.0,0.0,20,0,90,33.67654405751374,33.67654405751374,0.0,-1380.8360320894485,-1190.452072152796,-1035.8467001011581,-904.2580817224488
0.1,0.3,0.1,20,90,20,0,4,0,16,15431.51975360496,0.0,15431.51975360496,8288,0,8288,0.9995,0.8265,0.0,0.8265,0,20,90,35.67391615590247,0.0,35.67391615590247,5.8424355429452675,5.2747463422425795,-18.625021784247004,-30.83244018061481
0.1,0.3,0.1,20,90,20,1,4,0,16,21437.408576187474,21437.408576187474,0.0,9920,9920,0,0.9970000000000001,0.8089999999999999,0.8089999999999999,0.0,20,0,90,30.703959223206624,30.703959223206624,0.0,-11.368063623587588,-9.391269978038295,-10.339627610715596,-7.982719650794394
0.1,0.3,0.1,20,90,30,0,14,0,6,4812.071809173278,0.0,4812.071809173278,2266,0,2266,0.6998403390101715,0.35350000000000004,0.0,0.35350000000000004,0,20,90,25.048051948051953,0.0,25.048051948051953,-0.5137039531602774,3.4010317318730294,8.911396992400118,8.07242148244066
0.1,0.3,0.1,20,90,30,1,2,1,17,28730.54038466635,28730.54038466635,0.0,13671,13671,0,0.9681268497300828,0.8815,0.8815,0.0,20,0,90,36.618538707347135,36.618538707347135,0.0,-8.08620453572425,-7.1759865733578465,-35.1915697509169,-68.07631359989423
0.1,0.3,0.1,20,150,10,0,4,1,15,20226.084703223234,0.0,20226.084703223234,9085,0,9085,0.9960000000000001,0.7845000000000001,0.0,0.7845000000000001,0,20,150,64.29828745849207,0.0,64.29828745849207,-3.2420703449316406,-10.161898443831,-33.986040801075404,-59.163224160973016
0.1,0.3,0.1,20,150,10,1,8,3,9,18145.294542422325,18145.294542422325,0.0,7957,7957,0,1.0,0.5415000000000001,0.5415000000000001,0.0,20,0,150,54.193508713508706,54.193508713508706,0.0,14.46999504576441,10.144691751717271,13.699398949502385,19.034322902007244
0.1,0.3,0.1,20,150,20,0,14,1,5,5244.814791094178,0.0,5244.814791094178,3174,0,3174,0.43399999999999944,0.30600000000000005,0.0,0.30600000000000005,0,20,150,48.66904761904761,0.0,48.66904761904761,17.310116783266686,18.621418461911944,20.864998205227174,24.87490148269223
0.1,0.3,0.1,20,150,20,1,2,0,18,40387.759629397646,40387.759629397646,0.0,17363,17363,0,0.9935,0.9015000000000001,0.9015000000000001,0.0,20,0,150,55.170104877275506,55.170104877275506,0.0,-31.039503071220032,-76.06936707390057,-139.43099285427746,-242.94492602627798
0.1,0.3,0.1,20,150,30,0,2,0,18,43572.81598977069,0.0,43572.81598977069,22001,0,22001,0.9763333333333333,0.9,0.0,0.9,0,20,150,61.34706686597434,0.0,61.34706686597434,-42.63850291124072,-151.71330496557158,-263.43472348443584,-371.5177974945661
0.1,0.3,0.1,20,150,30,1,3,0,17,58686.98558656967,58686.98558656967,0.0,20944,20944,0,0.9840000000000001,0.8539999999999999,0.8539999999999999,0.0,20,0,150,51.24012884904912,51.24012884904912,0.0,-10.458823737075264,-46.77221476483194,-45.29038289865119,-101.86707230303628
0.1,0.3,0.1,50,60,10,0,3,4,43,28393.010782922127,0.0,28393.010782922127,14693,0,14693,1.0,0.8976721433079757,0.0,0.8976721433079757,0,50,60,27.900836338602293,0.0,27.900836338602293,-49.5109015181031,-68.29077074663621,-81.25348443441186,-78.57158986429346
0.1,0.3,0.1,50,60,10,1,14,3,33,34210.15466844681,34210.15466844681,0.0,17556,17556,0,0.7529999999999999,0.6946368360312547,0.6946368360312547,0.0,50,0,60,41.46611598948556,41.46611598948556,0.0,32.90967395272956,37.923452240223114,25.384871053114637,29.466977293518212
0.1,0.3,0.1,50,60,20,0,8,6,36,25313.965479746043,0.0,25313.965479746043,6783,0,6783,0.9196334134877707,0.7778,0.0,0.7778,0,50,60,23.711357077266168,0.0,23.711357077266168,-8.747525982276969,-20.607752478731484,-18.619518611006598,-16.757575032858696
0.1,0.3,0.1,50,60,20,1,1,0,49,73068.09515959084,73068.09515959084,0.0,43744,43744,0,0.8774999999999998,0.9763056258426696,0.9763056258426696,0.0,50,0,60,35.825849063150145,35.825849063150145,0.0,-244.63162486324848,-276.0822071855192,-319.0621046630075,-335.4189532719821
0.1,0.3,0.1,50,60,30,0,8,6,36,22222.277493049016,0.0,22222.277493049016,11728,0,11728,0.9358138508984003,0.7792206171115157,0.0,0.7792206171115157,0,50,60,20.489676504051506,0.0,20.489676504051506,-78.33663326783886,-80.09562657951722,-78.50900434947798,-80.200121304732
0.1,0.3,0.1,50,60,30,1,5,0,45,64134.91327148133,64134.91327148133,0.0,28019,28019,0,0.7453333333333332,0.9009999999999999,0.9009999999999999,0.0,50,0,60,28.073620394785006,28.073620394785006,0.0,-27.320918609560607,-24.88622330249433,-23.404187754940438,-19.459642915308024
0.1,0.3,0.1,50,90,10,0,33,8,9,9484.315507006304,0.0,9484.315507006304,5015,0,5015,0.6429999999999998,0.29129193359965205,0.0,0.29129193359965205,0,50,90,42.77732683982684,0.0,42.77732683982684,16.102958606677603,4.447802737488573,-6.2232731072625,-1.1431527600208398
0.1,0.3,0.1,50,90,10,1,15,2,33,39629.34669075188,39629.34669075188,0.0,20152,20152,0,0.8719999999999999,0.7099404223922563,0.7099404223922563,0.0,50,0,90,45.0560365948828,45.0560365948828,0.0,45.24368503893382,20.672970797367256,6.958887566905545,9.99766614600945
0.1,0.3,0.1,50,90,20,0,17,11,22,24471.485820068177,0.0,24471.485820068177,10191,0,10191,1.0,0.6007966502618571,0.0,0.6007966502618571,0,50,90,22.753472883705438,0.0,22.753472883705438,-3.8691390512399266,-2.0989155107903343,-4.485668938173518,0.6604079214509682
0.1,0.3,0.1,50,90,20,1,9,1,40,63251.0667201239,63251.0667201239,0.0,31613,31613,0,0.9225,0.8280000000000001,0.8280000000000001,0.0,50,0,90,36.736335170724324,36.736335170724324,0.0,-8.183195130162417,-44.83019243973702,-82.098591385612,-95.49167805788875
0.1,0.3,0.1,50,90,30,0,15,3,32,30143.45045324829,0.0,30143.45045324829,13688,0,13688,0.9816666666666668,0.7048349812406752,0.0,0.7048349812406752,0,50,90,19.99387671691833,0.0,19.99387671691833,-2.3743177609146215,-11.966858066359336,-11.690193926663866,-9.4020868276519
